@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
64.424,4.918,43.066,0
26.545,4.9274,43.066,0
3.2721,5.0751,0,0
33.946,5.1675,21.533,0
5.9863,4.9097,21.533,0
28.545,4.8014,21.533,0
18.98,4.782,0,0
27.775,4.9298,43.066,0
0.51975,4.7518,43.066,0
3.5924,4.8763,21.533,0
15.105,4.915,0,0
14.379,4.8656,21.533,0
3.1429,5.0213,43.066,0
13.779,4.9572,21.533,1
662.42,4.6557,0,1
826.36,4.5803,473.73,1
1196.7,4.7132,452.2,1
1215,4.7592,0,1
1425.4,4.7096,452.2,1
1410.5,4.6542,452.2,1
1626.2,4.7255,473.73,1
1699.1,4.5782,473.73,1
1650.6,4.6258,473.73,1
1710,4.5735,473.73,1
1804.8,4.6889,473.73,1
1680.8,4.6494,473.73,1
1808.8,4.5655,473.73,1
1899,4.6449,473.73,1
1749.7,4.5956,452.2,1
1720.3,4.596,452.2,1
1612.6,4.6578,473.73,1
1548.1,4.5559,473.73,1
1574.5,4.6957,452.2,1
1716.6,4.5918,452.2,1
1683.1,4.7108,452.2,1
1612.9,4.846,452.2,1
1314.4,4.6824,430.66,1
1479.7,4.6824,430.66,1
1344.1,4.6937,430.66,1
1190.2,4.8137,430.66,1
1264.1,4.767,430.66,1
1293,4.7806,430.66,1
1155.6,4.8203,430.66,1
1221.4,4.7594,430.66,1
1359.7,4.7417,430.66,1
1403.3,4.7137,430.66,1
1368.5,4.7088,430.66,1
1385.3,4.7344,430.66,1
1303.9,4.6945,0,1
1375.6,4.7196,430.66,1
1460.7,4.6151,452.2,1
1494.4,4.633,452.2,1
1510.2,4.6191,0,1
1533.8,4.6209,452.2,1
1540.7,4.5621,452.2,1
1476.6,4.5746,0,1
1502.8,4.669,21.533,1
1266,4.7267,0,1
1075.8,4.7767,430.66,1
1103.8,4.7118,0,1
1219.5,4.6348,43.066,1
1213,4.6498,430.66,1
