@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.011386,0.0095246,7,1,0
0.012178,0.010316,7,1,0
0.011984,0.010122,9,3,0
0.011795,0.0099329,9,3,0
0.010195,0.0083328,7,1,0
0.010949,0.0090877,8,2,0
0.0061583,0.0042965,65,59,0
0.01273,0.010868,11,5,0
0.0042451,0.0023833,128,122,0
0.0087528,0.006891,9,3,0
0.0068611,0.0049993,49,43,0
0.0043676,0.0025058,53,47,0
0.0029751,0.0011133,52,46,0
0.0026303,0.00076851,61,55,0
0.0022039,0.00034211,69,63,0
0.001956,9.4164e-05,6,0,0
0.0085649,0.0067031,11,5,0
0.0064043,0.0045425,11,5,0
0.0030908,0.001229,48,42,0
0.0016285,0,52,46,0
0.0014871,0,120,114,0
0.0015128,2.5697e-05,124,118,0
0.0014966,9.5592e-06,95,89,0
0.0015486,6.1558e-05,127,121,0
0.0017897,0.00030268,135,129,0
0.0016049,0.00011782,44,38,0
0.0019657,0.00047867,54,48,0
0.0084716,0.0069845,9,3,0
0.0036842,0.0021972,81,75,0
0.010998,0.0095112,67,61,0
0.0041103,0.0026233,82,76,0
0.009675,0.0081879,68,62,0
0.0057432,0.0042561,72,66,0
0.0050898,0.0036027,68,62,0
0.005501,0.0040139,77,71,0
0.0064562,0.0049691,67,61,0
0.0031456,0.0016585,26,20,0
0.0035613,0.0020742,40,34,0
0.0050632,0.0035761,90,84,0
0.003979,0.0024919,52,46,0
0.0042174,0.0027303,87,81,0
0.005628,0.0041409,33,27,0
0.0066606,0.0051736,14,8,0
0.0049279,0.0034408,29,23,0
0.003903,0.0024159,67,61,0
0.0030707,0.0015837,55,49,0
0.0033554,0.0018684,99,93,0
0.0023776,0.00089057,20,14,0
0.0038612,0.0023741,130,124,0
0.0027881,0.001301,148,142,0
0.0028299,0.0013429,84,78,0
0.0029536,0.0014665,125,119,0
0.0026321,0.0011451,33,27,0
0.0032015,0.0017144,109,103,0
0.003113,0.001626,91,85,0
0.0030935,0.0016064,136,130,0
0.0030439,0.0015569,134,128,0
0.0032654,0.0017784,35,29,0
0.0033221,0.001835,117,111,0
0.0027431,0.0012561,46,40,0
0.0035133,0.0020263,17,11,0
0.0025316,0.0010445,41,35,0
0.0037645,0.0022774,28,22,0
0.0047907,0.0033036,31,25,0
0.0050768,0.0035898,111,105,0
0.0050721,0.003585,29,23,0
0.0034015,0.0019145,81,75,0
0.0029083,0.0014213,33,27,0
0.0029792,0.0014921,45,39,0
0.013564,0.012077,71,65,0
0.0038715,0.0023844,82,76,0
0.0042092,0.0027221,83,77,0
0.0046915,0.0032045,49,43,0
0.0056103,0.0041233,10,4,0
0.0047463,0.0032593,25,19,0
0.003532,0.0020449,72,66,0
0.0053417,0.0038546,151,145,0
0.0071849,0.0056978,88,82,0
0.005637,0.0041499,27,21,0
0.0052565,0.0037695,39,33,0
0.0059013,0.0044143,39,33,0
0.0054448,0.0039577,48,42,0
0.0034205,0.0019334,52,46,0
0.0044898,0.0030028,51,45,0
0.0027614,0.0012743,48,42,0
0.0097806,0.0082935,45,39,0
0.0027035,0.0012164,23,17,0
0.0052506,0.0037636,49,43,0
0.0031271,0.0016401,116,110,0
0.002614,0.0011269,109,103,0
0.0028808,0.0013938,64,58,0
0.0028401,0.001353,113,107,0
0.0023804,0.00089333,37,31,0
0.0027256,0.0012386,52,46,0
0.0019999,0.00051288,33,27,0
0.0016147,0.00012764,7,1,0
0.0020927,0.00060567,109,103,0
0.001839,0.00035192,87,81,0
0.0066037,0.0051167,26,20,1
0.0077305,0.0062435,27,21,1
0.013925,0.012438,10,4,1
0.010048,0.0085613,97,91,1
0.023732,0.022245,140,134,1
0.027445,0.025958,89,83,1
0.017883,0.016396,69,63,1
0.032064,0.030577,52,46,1
0.052884,0.051397,50,44,1
0.055141,0.053654,47,41,1
0.052595,0.051108,41,35,1
0.052358,0.050871,35,29,1
0.041941,0.040454,31,25,1
0.032255,0.030768,35,29,1
0.018413,0.016926,41,35,1
0.017822,0.016335,25,19,1
0.014765,0.013278,114,108,1
0.015168,0.013681,24,18,1
0.010176,0.0086889,126,120,1
0.019688,0.018201,118,112,1
0.011538,0.010051,93,87,1
0.010772,0.0092845,123,117,1
0.0085738,0.0070867,54,48,1
0.0063059,0.0048189,149,143,0
0.0029745,0.0014874,76,70,0
0.0014519,0,128,122,0
0.0013159,0,11,5,0
0.0048137,0.0034977,19,13,0
0.0021843,0.00086833,58,52,0
0.0024934,0.0011774,110,104,0
0.0021304,0.00081446,143,137,0
0.0016798,0.00036384,119,113,0
0.0015277,0.00021182,71,65,0
0.0030366,0.0017207,60,54,0
0.0026076,0.0012916,128,122,0
0.0026364,0.0013205,56,50,0
0.0019487,0.00063273,77,71,0
0.0021316,0.00081568,105,99,0
0.00179,0.00047409,70,64,0
