@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
987.33,979.99,4.7639,0.6315,452.2,366.06,0.46,0.41331,3,11,0
996.96,989.62,4.9681,0.42727,473.73,387.6,0.5589,0.51222,2,12,0
1422.5,1415.2,5.0885,0.30692,452.2,366.06,1.0907,1.044,2,12,0
1108.2,1100.8,4.9661,0.42927,473.73,387.6,0.90459,0.85791,2,12,0
663.71,656.37,5.0641,0.33135,473.73,387.6,0.28392,0.23724,3,11,0
766.77,759.42,5.0229,0.37245,473.73,387.6,0.30703,0.26035,3,11,0
998.69,991.35,4.9023,0.4931,689.06,602.93,0.32656,0.27988,3,11,0
1117.4,1110,4.9286,0.46678,473.73,387.6,0.40293,0.35625,3,11,0
814.96,807.62,5.0371,0.35827,258.4,172.27,0.28686,0.24018,4,10,0
1295.5,1288.2,4.9781,0.4173,452.2,366.06,0.64856,0.60187,4,10,0
1510.4,1503.1,4.9878,0.40763,452.2,366.06,0.70045,0.65377,4,10,0
