@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0797,0.04846,0.054446,0.032668,509.41,502.07,5.1095,0.28587,796.73,710.6,0
0.068939,0.037698,0.060799,0.026316,424.15,416.8,5.1777,0.21766,430.66,344.53,0
0.055375,0.024134,0.066243,0.020871,231.21,223.86,5.3256,0.069755,775.2,689.06,0
0.052599,0.021358,0.057169,0.029946,281.05,273.71,5.2105,0.18487,775.2,689.06,0
0.053327,0.022087,0.068058,0.019056,203.12,195.78,5.312,0.083422,409.13,323,0
0.063728,0.032487,0.068966,0.018149,375.79,368.45,5.1153,0.28014,775.2,689.06,0
0.074438,0.043197,0.053539,0.033575,562.77,555.42,5.1546,0.24083,430.66,344.53,0
0.07959,0.04835,0.053539,0.033575,639.73,632.39,5.0311,0.36425,409.13,323,0
0.082199,0.050958,0.051724,0.03539,466.27,458.93,5.0551,0.3403,775.2,689.06,0
0.084253,0.053012,0.049909,0.037205,691.2,683.86,4.9815,0.41389,775.2,689.06,0
0.084656,0.053415,0.048094,0.03902,611.18,603.84,5.0191,0.37635,538.33,452.2,0
0.092453,0.061213,0.053539,0.033575,665.82,658.48,5.0032,0.39216,215.33,129.2,0
0.10139,0.07015,0.053539,0.033575,1054.8,1047.4,4.9518,0.44362,409.13,323,0
0.099295,0.068055,0.043557,0.043557,866.84,859.5,5.0227,0.37271,215.33,129.2,0
