@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
52.23,5.5903,0
44.557,5.5269,0
30.909,5.5012,0
25.293,5.4089,0
30.819,5.6523,0
63.308,5.7487,0
56.644,5.6983,0
47.786,5.6626,0
49.656,5.5797,0
51.22,5.3733,0
45.415,5.3367,0
58.066,5.5927,0
54.556,5.6202,0
52.864,5.6624,0
38.187,5.6494,0
37.95,5.5494,0
47.957,5.4852,0
61.74,5.4489,0
71.927,5.4545,0
72.933,5.4324,0
73.383,5.4344,0
74.391,5.4456,0
83.138,5.5442,0
79.857,5.5074,0
84.785,5.563,0
83.32,5.5473,0
78.017,5.4909,0
73.316,5.4554,0
67.332,5.409,0
60,5.3989,0
50.054,5.4674,0
45.774,5.38,0
40.64,5.3512,0
40.864,5.3699,0
40.579,5.3082,0
59.405,5.4716,0
66.547,5.4236,0
63.595,5.3573,0
72.961,5.46,0
72.17,5.4607,0
67.335,5.4295,0
89.993,5.6342,0
51.653,5.4731,0
75.901,5.4689,0
67.15,5.3582,0
56.607,5.2412,0
39.26,5.0627,0
33.726,5.282,0
34.12,5.4077,0
37.885,5.401,0
40.631,5.5356,0
129.46,4.444,1
831.41,4.5845,1
655.48,4.4714,1
650.02,4.8551,1
1195.3,4.5304,1
1530.1,4.3541,1
1049.7,4.5131,1
1122.4,4.3772,1
1115.8,4.2564,1
1311.4,4.0256,1
1300.8,3.9373,1
1293.6,3.8619,1
1170.3,4.0759,1
1007.4,4.1034,1
912.07,4.2442,1
785.28,4.3029,1
764.96,4.2879,1
767.15,4.3194,1
724.34,4.3999,1
658.73,4.3267,1
802.97,4.3406,1
797.7,4.2472,1
975.11,4.0193,1
888.92,4.3366,1
738.28,4.5754,1
531.03,4.7496,1
454.36,4.7216,1
367.54,4.6891,1
354.61,4.5496,1
356.3,4.4754,1
343.45,4.6026,1
644.51,4.9509,1
587.47,4.8282,1
427.31,4.7377,1
467.39,4.6859,1
410.88,4.6571,1
407.36,4.5085,1
388.52,4.5275,1
415.24,4.6049,1
427.62,4.5794,1
406.58,4.4807,1
405.18,4.4688,1
447.96,4.4844,1
494.9,4.3666,1
452.37,4.3964,1
441.96,4.5661,1
402.67,4.5307,1
579.07,4.8364,1
981.84,4.7932,1
2177.5,4.79,1
3929,4.368,1
3925.2,3.9113,1
3246.4,4.0264,1
4166.1,4.0461,1
5155.4,4.2774,1
7591.2,4.3572,1
7333,4.0569,1
6605.4,4.0609,1
5752.9,3.6074,1
4977.7,3.6452,1
4526.4,3.8054,1
3660.6,3.9447,1
2969.5,3.9598,1
2645.7,3.8725,1
2106.3,3.9148,1
1677.5,3.9854,1
1890.2,4.0707,1
1718.9,4.0802,1
1585.7,4.0058,1
1758.1,3.8677,1
1925,3.8026,1
1946.7,3.8135,1
1910.8,3.7955,1
1826.6,3.8533,1
1706.8,3.8643,1
1546,3.9157,1
1434.9,3.9619,1
1378.4,4.0166,1
1463.1,3.8905,1
1423.9,3.9355,1
1873.3,4.4538,1
1833.1,4.1538,1
1960.5,3.9812,1
2084.7,3.8916,1
2099.5,3.9423,1
2054.3,4.0534,1
1990.9,4.1904,1
1987.3,4.0901,1
2102.9,4.0534,1
2331.7,3.9442,1
2403.8,3.9671,1
2369.3,4.0899,1
2459.4,4.0526,1
2560.2,4.043,1
2816.6,3.8376,1
