@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.171,0.078947,0.74928,49,1
0.14378,0.057169,0.61255,38,1
0.10219,0.062613,0.87414,26,1
0.044478,0.072595,0.50782,41,1
0.022505,0.059891,0.46953,37,1
0.013009,0.060799,0.76712,31,1
0.0058822,0.077132,0.62328,41,0
0.0049467,0.078947,0.61578,41,0
0.0033209,0.07804,0.45544,40,0
0.0024029,0.084392,0.38821,40,0
0.002284,0.091652,0.4175,63,0
0.002208,0.10799,0.32603,42,0
0.0018019,0.11343,0.38081,94,0
0.0017909,0.11706,0.42205,114,0
0.0086739,0.10254,0.45591,37,0
0.014094,0.10345,0.79475,30,0
0.017117,0.092559,0.82378,37,0
0.019657,0.053539,0.91558,32,0
0.021267,0.044465,0.8865,25,0
0.021309,0.043557,0.86972,23,0
0.020886,0.044465,0.87535,30,0
0.020465,0.051724,0.87969,32,0
0.019476,0.060799,0.86837,37,0
0.018299,0.051724,0.84934,30,0
0.017784,0.049909,0.8092,35,0
0.01823,0.049909,0.7597,27,0
0.019652,0.049909,0.92208,15,0
0.020561,0.046279,0.89701,13,0
0.021222,0.037205,0.82396,15,0
0.023616,0.045372,0.65835,24,0
0.022415,0.050817,0.57947,20,0
0.018331,0.049909,0.61542,24,0
0.016286,0.056261,0.54502,24,0
0.013143,0.066243,0.54777,21,0
0.01436,0.07078,0.65526,26,0
0.016462,0.096189,0.33883,32,0
0.012267,0.099819,0.44934,25,0
0.0057125,0.085299,0.59946,23,0
0.011208,0.088929,0.3573,41,0
0.011083,0.1225,0.35563,41,0
0.0027354,0.14338,0.25084,81,0
0.0025878,0.14701,0.23299,76,0
0.0025369,0.14065,0.32867,80,0
0.0028625,0.1098,0.59677,47,0
0.0073439,0.098911,0.19495,39,0
0.0074033,0.08167,0.32231,29,0
0.0067828,0.080762,0.26889,37,0
0.0064593,0.10889,0.28397,52,0
0.0015239,0.13975,0.36837,132,0
0.0013779,0.16334,0.36146,154,0
0.0013747,0.1588,0.39982,181,0
0.0014205,0.1588,0.309,188,0
0.0016279,0.14519,0.2989,208,0
